review_id,product_name,category,rating,review_text,reviewer_name,review_date,verified_purchase,helpful_votes,price_usd
1062,Running Shoes Men's,Sports&Outdoors,2,"  Do not buy this Running Shoes, total waste of money.  ",Sofia S.,24-12-2023,No,1,64.99
1113,Wireless Mouse Ergonomic,Electronic,2,"Very disappointed with this Wireless Mouse, broke after a week.",raj l.,10/02/2023,No,2,16.99
1074,Yoga Mat Non-Slip,Sports & Outdoors,5,BEST YOGA MAT I'VE PURCHASED IN YEARS. 5 STARS.,Fatima N.,2024-04-13,1,2,24.99
1180,Wireless Mouse Ergonomic,ELECTRONICS,3,"Wireless Mouse works fine so far, will update review later.",Grace T.,11/05/2024,No,2,16.99
1075,Resistance Bands Set,Sports&Outdoors,5,This Resistance Bands exceeded my expectations. Highly recommend!!,Maria L.,"March 26, 2024",No,3,15.99
1136,Stainless Steel Water Bottle,Home&Kitchen,1,"Very disappointed with this Stainless Steel, broke after a week.",Raj P.,02/05/24,TRUE,0,18.50
1179,laptop backpack waterproof,Electronic,5,"Excellent quality Laptop Backpack, my whole family uses it now.",Raj B.,04/04/23,No,0,31.99
1109,Phone Case Shockproof,Electronics ,5,Absolutely love this Phone Case! Works great and arrived on time.,chloe k.,16-09-2023,FALSE,5,$9.99
1139,Cast Iron Skillet 12-inch,home & kitchen,5.0 stars,"Average Cast Iron. Not bad, not great.",james t.,03/21/23,1,3,N/A
1193,Desk Lamp LED,Home & Kitchen,5,"GREAT DESK LAMP, EXACTLY AS DESCRIBED. WOULD BUY AGAIN.",Chloe L.,2023-09-13,No,1,27.50
1047,Resistance Bands Set,Sports & Outdoors,1,The Resistance Bands arrived damaged and customer service was unhelpful.,raj r.,11/06/2024,0,3,15.99
1184,Ceramic Coffee Mug Set,Home and Kitchen,3,"It's a decent Ceramic Coffee for the price, some minor issues.",Carlos T.,"November 14, 2024",,0,21.99
1030,Hiking Backpack 40L,Sports & Outdoors,4,Best Hiking Backpack I've purchased in years. 5 stars.,Liam L.,15-12-2023,TRUE,2,58.99
1188,Dumbbell Set Adjustable,Sports & Outdoors,,"EXCELLENT QUALITY DUMBBELL SET, MY WHOLE FAMILY USES IT NOW.",Emma R.,09/08/2023,Yes,1,89.99
1123,Bluetooth Speaker Portable,Electronics ,5,"Excellent quality Bluetooth Speaker, my whole family uses it now.",Liam D.,18-05-2023,No,1,45.00
1149,Cast Iron Skillet 12-inch,Home & kitchen,4,  This Cast Iron exceeded my expectations. Highly recommend!!  ,sofia n.,"June 23, 2024",,5,42.00
1131,USB-C Fast Charger 65W,electronics,1,"Very disappointed with this USB-C Fast, broke after a week.",David K.,11/09/2023,1,0,22.00
1195,USB-C Fast Charger 65W,ELECTRONICS,1,"VERY DISAPPOINTED WITH THIS USB-C FAST, BROKE AFTER A WEEK.",Fatima S.,14-05-2023,TRUE,0,22.00
1146,USB-C Fast Charger 65W,,5,"Great USB-C Fast, exactly as described. Would buy again.",Priya N.,"July 17, 2024",Yes,0,22.00
1016,Running Shoes Men's,sports & outdoors,3,"The Running Shoes is okay, does what it says but nothing special.",chloe p.,"July 27, 2024",Yes,0,64.99
1105,Laptop Backpack Waterproof,Electronics ,4,"  Great Laptop Backpack, exactly as described. Would buy again.  ",Maria S.,09/06/23,No,8,31.99
1116,Phone Case Shockproof,ELECTRONICS,4,"  Excellent quality Phone Case, my whole family uses it now.  ",Fatima M.,"July 25, 2023",No,1,9.99
1112,Wireless Bluetooth Earbuds,Electronics ,1,"VERY DISAPPOINTED WITH THIS WIRELESS BLUETOOTH, BROKE AFTER A WEEK.",Raj S.,19-03-2023,No,3,39.99
1054,USB-C Fast Charger 65W,electronics,3,"The USB-C Fast is okay, does what it says but nothing special.",Sofia P.,"December 30, 2024",1,1,$22.00
1044,Ceramic Coffee Mug Set,Home&Kitchen,2,"  Very disappointed with this Ceramic Coffee, broke after a week.  ",Raj L.,03/30/2024,TRUE,8,$21.99
1137,Yoga Mat Non-Slip,Sports & Outdoors,5,"Excellent quality Yoga Mat, my whole family uses it now.",Emma K.,09/23/2023,FALSE,3,24.99
1071,Facial Cleanser Gentle,Health & Beauty,4,"Excellent quality Facial Cleanser, my whole family uses it now.",Wei L.,2023-03-23,Yes,0,12.99
1127,Hiking Backpack 40L,sports & outdoors,5,"Really happy with this Hiking Backpack, good value for money.",Wei D.,29-06-2024,1,2,58.99
1100,Resistance Bands Set,Sports&Outdoors,4,"Great Resistance Bands, exactly as described. Would buy again.",Chloe L.,2023-01-04,TRUE,2,15.99
1186,USB-C Fast Charger 65W,Electronics ,5,"GREAT USB-C FAST, EXACTLY AS DESCRIBED. WOULD BUY AGAIN.",Emma M.,2023-10-12,Yes,,N/A
1187,Running Shoes Men's,Sports & Outdoors,3,"THE RUNNING SHOES IS OKAY, DOES WHAT IT SAYS BUT NOTHING SPECIAL.",John T.,25-09-2024,Yes,0,64.99
1148,Wireless Bluetooth Earbuds,ELECTRONICS,5,"Excellent quality Wireless Bluetooth, my whole family uses it now.",Liam K.,06/27/2023,Yes,2,39.99
1007,Vitamin C Serum,Health & Beauty,3,"AVERAGE VITAMIN C. NOT BAD, NOT GREAT.",Priya P.,03/12/23,No,-1,19.99
1101,Resistance Bands Set,Sports&Outdoors,4,Best Resistance Bands I've purchased in years. 5 stars.,Chloe P.,2023-03-10,FALSE,0,15.99
1023,Hiking Backpack 40L,Sports and Outdoors,5,"Really happy with this Hiking Backpack, good value for money.",Fatima D.,11-09-2023,FALSE,1,58.99
1039,Ceramic Coffee Mug Set,Home & kitchen,5,  Absolutely love this Ceramic Coffee! Works great and arrived on time.  ,,2024-05-11,TRUE,1,21.99
1003,Dumbbell Set Adjustable,Sports & Outdoors,,"Excellent quality Dumbbell Set, my whole family uses it now.",Emma R.,09/08/2023,Yes,1,89.99
1089,Wireless Mouse Ergonomic,Electronic,4,Absolutely love this Wireless Mouse! Works great and arrived on time.,Lucas N.,03/04/2024,1,0,16.99
1168,Desk Lamp LED,Home&Kitchen,2,"Very disappointed with this Desk Lamp, broke after a week.",Liam N.,06/04/2023,TRUE,1,27.50
1157,Hiking Backpack 40L,Sports & Outdoors,4,Best Hiking Backpack I've purchased in years. 5 stars.,Liam N.,05/01/24,,2,58.99
1111,Phone Case Shockproof,Electronics ,2,"Very disappointed with this Phone Case, broke after a week.",Noah N.,03-07-2023,FALSE,2,9.99
1035,Resistance Bands Set,Sports & Outdoors,2,"Very disappointed with this Resistance Bands, broke after a week.",Aisha N.,26-08-2023,FALSE,0,15.99
1008,Memory Foam Pillow,Home&Kitchen,5,"Excellent quality Memory Foam, my whole family uses it now.",Grace M.,2023-08-19,FALSE,3,29.99
1060,Laptop Backpack Waterproof,Electronics ,5,This Laptop Backpack exceeded my expectations. Highly recommend!!,Sofia B.,2023-05-03,No,,31.99
1118,Hiking Backpack 40L,Sports and Outdoors,2,"Poor quality Hiking Backpack, would not recommend.",Wei B.,03/04/24,FALSE,0,58.99
1021,Desk Lamp LED,Home & kitchen,2,This Desk Lamp stopped working after 2 days. Returning it.,Noah D.,08/19/2023,Yes,0,27.50
1129,Cast Iron Skillet 12-inch,Home&Kitchen,2,The Cast Iron arrived damaged and customer service was unhelpful.,Mei M.,"April 06, 2023",FALSE,1,42.00
1026,Facial Cleanser Gentle,Health & Beauty,3,"Facial Cleanser works fine so far, will update review later.",John N.,07-03-2024,Yes,0,12.99
1185,Kitchen Knife Set,Home & Kitchen,5,Absolutely love this Kitchen Knife! Works great and arrived on time.,James P.,2024-04-08,Yes,0,39.99
1029,Bluetooth Speaker Portable,Electronic,4,Best Bluetooth Speaker I've purchsed in years. 5 stars.,,"July 05, 2024",TRUE,5,45.00
1087,Wireless Mouse Ergonomic,Electronics ,3,"Average Wireless Mouse. Not bad, not great.",Fatima B.,06/11/2024,TRUE,,16.99
1073,Desk Lamp LED,Home & kitchen,5,  Best Desk Lamp I've purchased in years. 5 stars.  ,Lucas B.,17-01-2023,TRUE,-1,27.50
1096,Vitamin C Serum,,5,"Really happy with this Vitamin C, good value for money.",Fatima M.,21-04-2024,Yes,1,19.99
1103,Memory Foam Pillow,Home & kitchen,1,"Poor quality Memory Foam, would not recommend.",Chloe R.,01/21/2024,No,1,29.99
1053,Cast Iron Skillet 12-inch,home & kitchen,5,"  Great Cast Iron, exactly as described. Would buy again.  ",Zara K.,03/07/24,1,0,42.00
